itemid,label,mode_name,count,mode_category,coherence,status,note,,device_category,count
223849,Ventilator Mode,CPAP/PSV,192510,Pressure Support/CPAP,based on mCIDE mapping,coded/validated by K. Smith,seems a lot of mixed are classified into other,,Assist Control-Volume Control,7
223849,Ventilator Mode,CMV/ASSIST/AutoFlow,175435,Assist Control-Volume Control,,coded/validated by K. Smith,,,Pressure Support/CPAP,11
223849,Ventilator Mode,CMV/ASSIST,17945,Assist Control-Volume Control,,coded/validated by K. Smith,,,Pressure Control,6
223849,Ventilator Mode,MMV/PSV/AutoFlow,12726,SIMV,not covered by mCIDE mapping,updated by S. Guleria,"This is a Draeger vent that fundamentally is SIMV, but adjusts the rate to target a minute ventilation. SIMV feels appropriate. (Previously 'other')",,Pressure-Regulated Volume Control,4
223849,Ventilator Mode,Standby,11044,NO MAPPING,not covered by mCIDE mapping,coded/validated by K. Smith,"this just mean it is not on right? it should be no mapping?

Yes, but could represent the time when mechanical ventilation was stopped... may be helpful for measuring how long someone was ventilated for?",,SIMV,14
223849,Ventilator Mode,PSV/SBT,8550,Pressure Support/CPAP,,coded/validated by K. Smith,,,Blow by,0
223849,Ventilator Mode,PRVC/AC,5029,Pressure-Regulated Volume Control,,coded/validated by K. Smith,,,Other,13
223849,Ventilator Mode,PCV+Assist,4152,Pressure Control,,coded/validated by K. Smith,,,Volume Support,1
223849,Ventilator Mode,CPAP/PSV+ApnVol,3410,Pressure Support/CPAP,,updated by S. Guleria,"This was mapped as PRVC, but I think PS/CPAP is more appropriate. ApnVol just refers to a backup rate as a safety feature rather than targeting a specific volume as implied by PRVC",,,
223849,Ventilator Mode,SIMV/PSV/AutoFlow,1947,SIMV,based on mCIDE mapping,coded/validated by K. Smith,,,,
223849,Ventilator Mode,MMV/PSV,1880,SIMV,,updated by S. Guleria,"This is a Draeger vent that fundamentally is SIMV, but adjusts the rate to target a minute ventilation. SIMV feels appropriate. (Previously 'Other')",,,
223849,Ventilator Mode,CPAP,1243,Pressure Support/CPAP,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,APRV,1046,Pressure-Regulated Volume Control,based on mCIDE mapping,updated by W. Parker,,,,
223849,Ventilator Mode,CMV/AutoFlow,1030,Assist Control-Volume Control,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,CPAP/PPS,948,Pressure Support/CPAP,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,CPAP/PSV+ApnPres,750,Pressure Support/CPAP,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,VOL/AC,519,Assist Control-Volume Control,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,PCV+,451,Pressure Control,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,CMV,430,Assist Control-Volume Control,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,PCV+/PSV,395,Pressure Control,not covered by mCIDE mapping,coded/validated by K. Smith,,,,
223849,Ventilator Mode,PRES/AC,320,Pressure Control,,updated by S. Guleria,Previously mapped to ACVC. PRES/AC refers to pressure control assist control,,,
223849,Ventilator Mode,SIMV/PSV,310,SIMV,,coded/validated by K. Smith,,,,
223849,Ventilator Mode,APV (cmv),305,Pressure-Regulated Volume Control,,updated by W. Parker,,,,
223849,Ventilator Mode,SPONT,199,Pressure Support/CPAP,not covered by mCIDE mapping,coded/validated by K. Smith,,,,
